filename,total_nodes,parameter,broadcast,constant,dot,minimum,maximum,clamp,reverse,negate,add,subtract,reduce
fuzz_000.gen.hlo,10,0,2,2,0,0,1,0,0,2,2,1,0
fuzz_001.gen.hlo,12,1,3,3,0,0,1,1,1,0,2,0,0
fuzz_002.gen.hlo,18,1,5,4,0,1,1,1,0,1,1,1,1
fuzz_003.gen.hlo,16,3,3,2,0,0,0,1,1,1,3,0,1
fuzz_004.gen.hlo,18,2,4,4,1,0,0,1,0,0,3,3,0
fuzz_005.gen.hlo,20,2,4,3,0,0,0,1,1,1,4,2,1
fuzz_006.gen.hlo,30,1,9,8,0,0,1,3,1,1,3,1,1
fuzz_007.gen.hlo,27,1,8,8,1,0,1,3,0,0,4,1,0
fuzz_008.gen.hlo,26,1,7,6,0,0,0,2,0,0,7,3,0
fuzz_009.gen.hlo,20,3,4,3,0,0,0,0,1,1,6,2,0
fuzz_010.gen.hlo,22,1,3,3,0,0,1,1,1,2,4,4,1
fuzz_011.gen.hlo,27,1,7,6,2,0,1,2,1,1,4,2,0
fuzz_012.gen.hlo,37,2,11,9,0,0,0,4,1,0,6,4,0
fuzz_013.gen.hlo,27,2,6,5,0,0,3,1,2,2,3,1,1
fuzz_014.gen.hlo,24,2,5,4,2,0,1,0,2,1,3,4,0
fuzz_015.gen.hlo,32,1,8,8,0,0,0,3,2,2,5,3,0
fuzz_016.gen.hlo,31,1,6,6,0,2,4,0,2,1,6,1,1
fuzz_017.gen.hlo,34,2,8,7,1,1,0,3,2,2,6,2,0
fuzz_018.gen.hlo,31,2,7,5,0,0,0,0,0,4,9,4,0
fuzz_019.gen.hlo,22,2,1,0,0,0,0,0,3,2,8,6,0
fuzz_020.gen.hlo,31,2,4,4,0,0,1,1,1,3,9,4,1
fuzz_021.gen.hlo,40,2,11,9,0,3,3,2,0,2,4,4,0
fuzz_022.gen.hlo,29,2,5,3,0,0,0,0,0,8,9,2,0
fuzz_023.gen.hlo,37,1,7,7,1,0,2,1,2,4,6,4,1
fuzz_024.gen.hlo,37,2,7,6,3,1,1,1,0,4,7,5,0
fuzz_025.gen.hlo,49,2,11,10,3,0,0,4,3,2,9,3,1
fuzz_026.gen.hlo,41,1,8,8,0,1,2,2,6,2,7,2,1
fuzz_027.gen.hlo,50,2,13,11,1,0,3,3,2,5,7,1,1
fuzz_028.gen.hlo,55,5,13,11,4,1,0,3,2,0,13,1,1
fuzz_029.gen.hlo,47,4,11,8,0,0,2,3,5,2,8,2,1
fuzz_030.gen.hlo,45,2,9,7,4,1,0,2,3,0,12,3,1
fuzz_031.gen.hlo,45,2,9,7,0,1,0,3,2,7,9,3,1
fuzz_032.gen.hlo,56,3,13,11,0,0,0,5,7,1,11,3,1
fuzz_033.gen.hlo,66,3,17,15,2,0,4,5,0,3,11,4,1
fuzz_034.gen.hlo,58,2,13,12,0,0,1,5,2,6,10,5,1
fuzz_035.gen.hlo,55,4,12,9,4,1,0,2,5,2,11,3,1
fuzz_036.gen.hlo,63,1,16,16,0,0,2,5,3,2,12,6,0
fuzz_037.gen.hlo,56,2,12,12,0,2,0,3,3,2,11,9,0
fuzz_038.gen.hlo,61,3,12,11,0,0,1,4,4,4,12,8,1
fuzz_039.gen.hlo,62,3,15,12,0,0,2,4,4,5,12,3,1
fuzz_040.gen.hlo,54,0,9,9,0,4,4,1,3,5,17,2,0
fuzz_041.gen.hlo,65,1,17,17,0,3,1,5,1,3,12,5,0
fuzz_042.gen.hlo,63,6,12,11,5,1,1,3,4,4,9,5,1
fuzz_043.gen.hlo,53,6,10,5,5,1,3,0,4,1,14,4,0
fuzz_044.gen.hlo,73,5,18,16,0,3,1,5,4,1,10,10,0
fuzz_045.gen.hlo,74,4,17,14,4,0,2,4,5,4,16,2,1
fuzz_046.gen.hlo,79,4,19,17,0,2,4,6,3,2,14,6,1
fuzz_047.gen.hlo,79,5,18,16,0,0,3,5,0,0,18,12,1
fuzz_048.gen.hlo,66,4,14,12,0,1,2,2,4,7,14,4,1
fuzz_049.gen.hlo,65,2,11,11,6,2,1,2,4,1,17,6,1
fuzz_050.gen.hlo,73,4,15,14,1,2,2,4,4,6,13,6,1
fuzz_051.gen.hlo,57,5,9,6,0,3,1,1,3,4,13,10,1
fuzz_052.gen.hlo,83,6,21,16,0,4,2,4,3,5,12,10,0
fuzz_053.gen.hlo,63,8,9,4,0,0,0,0,0,9,20,13,0
fuzz_054.gen.hlo,77,5,15,14,6,0,1,6,7,3,14,4,1
fuzz_055.gen.hlo,81,5,17,15,0,1,1,5,4,4,18,9,1
fuzz_056.gen.hlo,87,2,21,20,0,0,5,5,5,4,15,10,0
fuzz_057.gen.hlo,75,2,15,13,0,6,1,3,9,5,16,3,1
fuzz_058.gen.hlo,82,5,17,14,0,1,2,5,7,5,18,6,1
fuzz_059.gen.hlo,84,3,18,17,0,3,1,6,6,6,16,8,0
fuzz_060.gen.hlo,72,8,12,8,0,0,0,0,0,9,19,16,0
fuzz_061.gen.hlo,79,7,16,15,0,1,2,3,4,2,13,16,0
fuzz_062.gen.hlo,89,1,21,20,0,2,0,7,7,4,17,10,0
fuzz_063.gen.hlo,97,5,20,20,5,3,1,6,2,4,20,9,1
fuzz_064.gen.hlo,74,7,10,6,0,0,0,0,0,11,28,10,1
fuzz_065.gen.hlo,101,7,25,21,5,1,0,7,4,7,15,7,1
fuzz_066.gen.hlo,96,7,23,19,0,1,6,5,8,4,14,9,0
fuzz_067.gen.hlo,103,3,25,23,3,2,1,9,8,7,18,2,1
fuzz_068.gen.hlo,68,4,7,5,0,0,0,0,0,16,19,15,1
fuzz_069.gen.hlo,104,6,26,23,0,0,2,8,6,4,20,9,0
fuzz_070.gen.hlo,98,6,20,18,7,1,2,5,6,5,21,5,1
fuzz_071.gen.hlo,101,1,23,22,7,1,4,5,5,3,21,7,1
fuzz_072.gen.hlo,96,7,18,15,0,0,0,4,7,7,29,7,1
fuzz_073.gen.hlo,91,4,17,15,0,1,5,5,5,8,22,7,1
fuzz_074.gen.hlo,85,7,13,9,0,0,0,0,0,13,30,11,1
fuzz_075.gen.hlo,104,8,21,18,8,2,0,6,4,7,20,8,1
fuzz_076.gen.hlo,91,3,17,16,0,1,1,4,8,5,17,17,1
fuzz_077.gen.hlo,104,6,19,17,8,3,1,5,2,6,27,8,1
fuzz_078.gen.hlo,119,5,31,27,1,2,5,7,5,5,21,10,0
fuzz_079.gen.hlo,102,6,22,17,2,4,2,5,7,6,18,13,0
fuzz_080.gen.hlo,98,9,16,13,0,2,1,2,8,6,26,15,0
fuzz_081.gen.hlo,115,7,25,22,0,2,6,6,4,9,27,5,1
fuzz_082.gen.hlo,112,3,24,23,0,5,0,7,10,4,23,11,1
fuzz_083.gen.hlo,120,6,26,26,0,0,0,11,3,7,35,6,0
fuzz_084.gen.hlo,112,3,26,24,0,0,1,9,9,7,20,11,1
fuzz_085.gen.hlo,114,1,25,25,7,6,1,5,5,9,20,8,1
fuzz_086.gen.hlo,102,6,19,18,4,2,1,4,8,5,25,10,0
fuzz_087.gen.hlo,110,5,21,21,6,2,4,6,4,8,21,12,0
fuzz_088.gen.hlo,112,5,25,21,0,3,0,6,10,8,26,8,0
fuzz_089.gen.hlo,117,7,26,22,2,2,2,6,5,6,32,7,0
fuzz_090.gen.hlo,94,6,14,9,0,0,0,0,0,15,37,13,0
fuzz_091.gen.hlo,117,4,21,18,6,4,2,5,10,7,31,7,1
fuzz_092.gen.hlo,116,8,24,20,4,1,0,7,8,7,25,10,1
fuzz_093.gen.hlo,145,8,38,33,6,1,0,13,10,5,22,9,0
fuzz_094.gen.hlo,132,3,32,31,5,1,6,7,7,8,18,12,1
fuzz_095.gen.hlo,113,5,22,18,0,0,2,6,10,8,29,13,0
fuzz_096.gen.hlo,113,11,20,13,0,0,0,0,0,13,39,15,1
fuzz_097.gen.hlo,96,7,13,7,0,0,0,0,0,19,31,19,0
fuzz_098.gen.hlo,142,9,34,28,6,3,6,8,9,4,25,8,1
fuzz_099.gen.hlo,111,5,19,17,0,3,3,3,5,9,28,19,0
